number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_patience,params_subsample,system_attrs_fixed_params,state
0,0.6577181208053692,2026-07-09 11:36:25.725658,2026-07-09 11:36:26.538961,0 days 00:00:00.813303,1.0,0.0,0.1,6,1,100,3,1.0,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'gamma': 0.0, 'patience': 3}",COMPLETE
1,0.6657496561210454,2026-07-09 11:36:26.539774,2026-07-09 11:36:26.997658,0 days 00:00:00.457884,0.8,0.1,0.01,4,3,500,3,0.8,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'gamma': 0.1, 'patience': 3}",COMPLETE
2,0.6438896189224704,2026-07-09 11:36:26.998392,2026-07-09 11:36:27.268002,0 days 00:00:00.269610,0.7,0.0,0.3,8,1,50,3,0.7,"{'n_estimators': 50, 'max_depth': 8, 'learning_rate': 0.3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'min_child_weight': 1, 'gamma': 0.0, 'patience': 3}",COMPLETE
3,0.6638888888888889,2026-07-09 11:36:27.268728,2026-07-09 11:36:27.618552,0 days 00:00:00.349824,0.6,0.5,0.05,3,5,300,3,0.6,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'min_child_weight': 5, 'gamma': 0.5, 'patience': 3}",COMPLETE
4,0.654843110504775,2026-07-09 11:36:27.619246,2026-07-09 11:36:28.004179,0 days 00:00:00.384933,0.5780093202212182,0.05808361216819946,0.06504856968981275,20,2,218,5,0.7993292420985183,,COMPLETE
5,0.648721399730821,2026-07-09 11:36:28.004959,2026-07-09 11:36:31.931609,0 days 00:00:03.926650,0.9162213204002109,0.18182496720710062,0.001124579825911934,15,3,321,2,0.9849549260809971,,COMPLETE
6,0.6531165311653117,2026-07-09 11:36:31.932432,2026-07-09 11:36:32.463403,0 days 00:00:00.530971,0.8059264473611898,0.29214464853521815,0.01174843954800703,11,2,187,3,0.645614570099021,,COMPLETE
7,0.654891304347826,2026-07-09 11:36:32.464238,2026-07-09 11:36:33.227004,0 days 00:00:00.762766,0.7962072844310213,0.6075448519014384,0.003123317753376431,16,1,255,2,0.7571172192068059,,COMPLETE
8,0.6428571428571429,2026-07-09 11:36:33.227828,2026-07-09 11:36:33.546934,0 days 00:00:00.319106,0.6523068845866853,0.6842330265121569,0.24659691172104828,20,1,79,3,0.9041986740582306,,COMPLETE
9,0.6497175141242938,2026-07-09 11:36:33.547774,2026-07-09 11:36:33.976257,0 days 00:00:00.428483,0.6293899908000085,0.31171107608941095,0.0012167028814593455,11,7,105,4,0.954660201039391,,COMPLETE
10,0.6657496561210454,2026-07-09 11:36:33.976884,2026-07-09 11:36:34.348475,0 days 00:00:00.371591,0.7619128128093872,0.18556568622710587,0.02134897198365317,3,3,448,4,0.841898172650503,,COMPLETE
11,0.6611570247933884,2026-07-09 11:36:34.349174,2026-07-09 11:36:34.791355,0 days 00:00:00.442181,0.8132934323300276,0.15732603553275873,0.01144141475946822,5,1,474,3,0.7753747596070704,,COMPLETE
12,0.6602739726027397,2026-07-09 11:36:34.792196,2026-07-09 11:36:35.352169,0 days 00:00:00.559973,0.9726872768199497,0.12977386689343998,0.008133405573570231,6,6,353,3,0.8202653893527182,,COMPLETE
13,0.6602475928473177,2026-07-09 11:36:35.353006,2026-07-09 11:36:35.673956,0 days 00:00:00.320950,0.8119853975542913,0.44785986825007595,0.0679306891540692,8,4,423,4,0.8981039795803184,,COMPLETE
14,0.659217877094972,2026-07-09 11:36:35.674766,2026-07-09 11:36:36.079309,0 days 00:00:00.404543,0.6847206772510797,0.11293526642960407,0.015265615120011228,2,7,490,2,0.7293023240258234,,COMPLETE
15,0.6675824175824175,2026-07-09 11:36:36.080144,2026-07-09 11:36:36.474957,0 days 00:00:00.394813,0.6400551889834704,0.12132877818462398,0.09631789525384356,4,5,382,3,0.9920129988123861,,COMPLETE
16,0.6666666666666666,2026-07-09 11:36:36.475754,2026-07-09 11:36:36.763256,0 days 00:00:00.287502,0.5320763806704023,0.28302529015720124,0.14293077490705453,3,3,281,3,0.9282119110753435,,COMPLETE
17,0.6601941747572816,2026-07-09 11:36:36.764001,2026-07-09 11:36:37.072210,0 days 00:00:00.308209,0.6488984182470833,0.5355346505090712,0.06745039400228034,6,3,308,2,0.9107451517739795,,COMPLETE
18,0.6694101508916324,2026-07-09 11:36:37.072945,2026-07-09 11:36:37.370402,0 days 00:00:00.297457,0.6739452080830536,0.06422100470509792,0.11100783274318998,2,6,295,3,0.9480123693393426,,COMPLETE
19,0.6592489568845619,2026-07-09 11:36:37.371077,2026-07-09 11:36:37.662194,0 days 00:00:00.291117,0.6051996096921004,0.026932226434274745,0.23844082757719579,2,7,305,2,0.9515977684925708,,COMPLETE
20,0.6693877551020408,2026-07-09 11:36:37.662870,2026-07-09 11:36:38.017038,0 days 00:00:00.354168,0.8194570485830894,0.32545376047867824,0.11333186647600386,4,6,149,2,0.941360471958717,,COMPLETE
21,0.665785997357992,2026-07-09 11:36:38.017805,2026-07-09 11:36:38.296009,0 days 00:00:00.278204,0.8116056576164153,0.2836534494609039,0.2940057393970998,5,8,124,2,0.8064516041897251,,COMPLETE
22,0.6666666666666666,2026-07-09 11:36:38.296717,2026-07-09 11:36:38.629909,0 days 00:00:00.333192,0.7997468553319516,0.11459691969740052,0.052376679924630444,4,10,227,4,0.9989645635839076,,COMPLETE
23,0.6684782608695652,2026-07-09 11:36:38.630571,2026-07-09 11:36:38.929216,0 days 00:00:00.298645,0.8820003746855838,0.6597236662182191,0.08670622441560731,3,7,120,3,0.9808299638340698,,COMPLETE
