date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,lr,d_model,n_heads,d_ff,e_layers,dropout,batch_size,patience,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,09:47:51,4,56,Transformer,0.709,0.8412,0.6752,0.7465,0.00021618560687946262,16,8,64,6,0.03941138861244666,8,4,0.49,0.38,0.709,56,0.6949,0.835,0.6463,0.7515,0.0141,False,OK
2026-07-09,10:46:55,4,84,Transformer,0.7076,0.8395,0.6783,0.7396,9.229775402874815e-05,32,8,256,6,0.10754651000365684,8,5,0.47,0.28,0.709,56,0.6839,0.8335,0.6387,0.7361,0.0237,False,OK
2026-07-09,10:59:40,4,91,Transformer,0.7063,0.8397,0.6624,0.7564,0.00010395789892673877,32,8,64,5,0.1511859929296755,8,5,0.39,0.25,0.709,56,0.6694,0.8323,0.6132,0.737,0.0368,False,OK
2026-07-09,11:11:51,4,99,Transformer,0.7061,0.8396,0.7038,0.7083,5.3936150866575593e-05,256,8,512,6,0.1760284468606481,8,5,0.3,0.32,0.709,56,0.6815,0.834,0.6616,0.7027,0.0245,False,OK
2026-07-09,09:19:43,4,17,Transformer,0.7055,0.8435,0.6943,0.7171,0.0004870572269026284,16,8,64,3,0.011517673893060042,8,2,0.39,0.31,0.7055,17,0.6995,0.8373,0.6692,0.7326,0.006,False,OK
2026-07-09,10:40:36,4,81,Transformer,0.7053,0.843,0.6783,0.7345,7.469163898640344e-05,32,8,64,6,0.14072115393314738,8,5,0.41,0.28,0.709,56,0.6884,0.8311,0.6438,0.7398,0.0169,False,OK
2026-07-09,09:38:01,4,45,Transformer,0.7051,0.8389,0.6815,0.7304,0.0006048657192780363,16,8,64,4,0.07097479644333987,8,3,0.4,0.28,0.7055,17,0.6803,0.8302,0.6361,0.731,0.0248,False,OK
2026-07-09,10:44:50,4,83,Transformer,0.7038,0.8367,0.6847,0.7239,8.530817983514927e-05,32,8,256,6,0.29977404309139294,8,5,0.41,0.3,0.709,56,0.681,0.8296,0.6463,0.7195,0.0228,False,OK
2026-07-09,09:35:45,4,43,Transformer,0.7033,0.8392,0.672,0.7378,0.0005085255721411241,16,8,64,3,4.035287630604727e-05,8,2,0.52,0.4,0.7055,17,0.6766,0.824,0.6336,0.7259,0.0267,False,OK
2026-07-09,10:24:36,4,74,Transformer,0.703,0.8356,0.6783,0.7295,5.41794079451906e-05,32,8,64,6,0.20055370366935,8,5,0.4,0.29,0.709,56,0.6685,0.8295,0.626,0.7172,0.0345,False,OK
2026-07-09,10:10:32,4,67,Transformer,0.702,0.8394,0.6752,0.731,0.00013030207192475156,32,8,64,6,0.03298816436077251,8,4,0.42,0.32,0.709,56,0.6955,0.834,0.6539,0.7428,0.0065,False,OK
2026-07-09,10:12:37,4,68,Transformer,0.7018,0.8366,0.6783,0.727,6.139830687355865e-05,32,8,64,6,0.06834104159016544,8,5,0.41,0.21,0.709,56,0.6827,0.831,0.6489,0.7203,0.0191,False,OK
2026-07-09,10:19:29,4,71,Transformer,0.7017,0.8342,0.6592,0.75,7.476555389555859e-05,32,2,64,5,0.021289898363930512,8,4,0.42,0.3,0.709,56,0.6722,0.8232,0.6158,0.7401,0.0295,False,OK
2026-07-09,09:53:43,4,59,Transformer,0.7015,0.836,0.6847,0.7191,0.0001188438095419608,16,8,64,6,0.08763905572860414,8,5,0.38,0.3,0.709,56,0.6872,0.8311,0.6539,0.7239,0.0143,False,OK
2026-07-09,11:09:43,4,98,Transformer,0.7015,0.8354,0.6847,0.7191,0.0005261754783780929,16,8,64,2,0.1580320945195539,16,2,0.4,0.24,0.709,56,0.6784,0.8322,0.6361,0.7267,0.023,False,OK
2026-07-09,09:29:48,4,32,Transformer,0.7013,0.8369,0.6656,0.7411,0.0004707526335877383,32,8,2,3,0.011432058651265196,8,3,0.46,0.32,0.7055,17,0.6813,0.831,0.6336,0.7367,0.0201,False,OK
2026-07-09,11:08:24,4,96,Transformer,0.7012,0.8348,0.6688,0.7368,0.00012683704164426988,32,8,64,4,0.1867996188084895,8,5,0.51,0.45,0.709,56,0.6785,0.8267,0.6336,0.7302,0.0227,False,OK
2026-07-09,10:34:44,4,78,Transformer,0.7005,0.8336,0.6815,0.7205,0.0003050224725003312,64,8,64,6,0.057307476645128134,8,3,0.25,0.21,0.709,56,0.6819,0.8287,0.6438,0.7249,0.0186,False,OK
2026-07-09,10:55:15,4,89,Transformer,0.7002,0.8416,0.6879,0.7129,0.00011656633256335687,32,8,256,6,0.14767563074096238,16,5,0.34,0.33,0.709,56,0.6809,0.8342,0.6489,0.7163,0.0193,False,OK
2026-07-09,10:32:38,4,77,Transformer,0.7,0.836,0.6911,0.7092,6.141751946372526e-05,32,16,128,6,0.18195903165013091,8,5,0.34,0.25,0.709,56,0.6853,0.8339,0.6565,0.7167,0.0147,False,OK
