NAS SL,Testing SL,Model,F1,AUC,Recall,Precision,Threshold_x,SL,FLOPs,MFLOPs,Comparisons,Latency (μs),Train_F1,Val_F1,Test_F1,Train_vs_Val_Gap,Train_vs_Test_Gap,Val_vs_Test_Gap,Threshold_y
M16,16,LSTM,0.7176,0.8546,0.6692,0.7735,0.4,16,989612,0.9896,—,884.69,0.7331,0.7483,0.7176,-0.0153,0.0155,0.0307,0.4
M16,16,RandomForest,0.6623,0.822,0.6438,0.6819,0.39,16,—,—,1000,14214.18,0.7657,0.7034,0.6623,0.0624,0.1034,0.0411,0.39
M16,16,TimesNet_PartialUnfreeze,0.6904,0.8501,0.6667,0.7158,0.36,16,2750976,2.751,—,7073.31,0.7201,0.7183,0.6904,0.0018,0.0297,0.0279,0.36
M16,16,TimesNet_Unfrozen,0.7035,0.8511,0.6641,0.7479,0.33,16,2750976,2.751,—,7073.31,0.7522,0.741,0.7035,0.0112,0.0487,0.0375,0.33
M16,16,TransformerFraud,0.7072,0.8575,0.7099,0.7045,0.43,16,3179008,3.179,—,2221.06,0.7271,0.7387,0.7072,-0.0116,0.0198,0.0314,0.43
M16,16,XGBoost,0.6622,0.8259,0.6336,0.6936,0.42,16,—,—,4095,549.17,0.7129,0.7048,0.6622,0.0081,0.0507,0.0426,0.42
