NAS SL,Testing SL,Model,F1,AUC,Recall,Precision,Threshold_x,SL,FLOPs,MFLOPs,Comparisons,Latency (μs),Train_F1,Val_F1,Test_F1,Train_vs_Val_Gap,Train_vs_Test_Gap,Val_vs_Test_Gap,Threshold_y
16,16,LSTM,0.7075,0.8533,0.6616,0.7602,0.22,16,10906116,10.9061,—,1114.9,0.7255,0.7426,0.7075,-0.0171,0.018,0.0351,0.22
16,16,RandomForest,0.6718,0.821,0.6718,0.6718,0.37,16,—,—,2592,25344.3,0.7235,0.7048,0.6718,0.0187,0.0517,0.0331,0.37
16,16,TimesNet_PartialUnfreeze,0.6863,0.8482,0.6819,0.6907,0.27,16,89679360,89.6794,—,14855.94,0.7228,0.7044,0.6863,0.0184,0.0365,0.0181,0.27
16,16,TimesNet_Unfrozen,0.7183,0.8535,0.6845,0.7556,0.44,16,89679360,89.6794,—,14855.94,0.7715,0.748,0.7183,0.0236,0.0532,0.0297,0.44
16,16,TransformerFraud,0.6952,0.8628,0.6412,0.759,0.47,16,12682240,12.6822,—,2346.52,0.7397,0.7446,0.6952,-0.0048,0.0446,0.0494,0.47
16,16,XGBoost,0.664,0.8298,0.6387,0.6915,0.43,16,—,—,983,17989.22,0.7155,0.7145,0.664,0.001,0.0514,0.0505,0.43
