NAS SL,Testing SL,Model,F1,AUC,Recall,Precision,Threshold_x,SL,FLOPs,MFLOPs,Comparisons,Latency (μs),Train_F1,Val_F1,Test_F1,Train_vs_Val_Gap,Train_vs_Test_Gap,Val_vs_Test_Gap,Threshold_y
M6,6,LSTM,0.6939,0.8373,0.6489,0.7456,0.34,6,371372,0.3714,—,834.96,0.6942,0.7032,0.6939,-0.0089,0.0003,0.0093,0.34
M6,6,RandomForest,0.6299,0.7763,0.6539,0.6076,0.32,6,—,—,3600,47631.13,0.6909,0.6528,0.6299,0.0381,0.061,0.0229,0.32
M6,6,TimesNet_PartialUnfreeze,0.6755,0.8326,0.6463,0.7075,0.46,6,991296,0.9913,—,7577.26,0.6647,0.6811,0.6755,-0.0163,-0.0108,0.0055,0.46
M6,6,TimesNet_Unfrozen,0.6843,0.8359,0.659,0.7115,0.43,6,991296,0.9913,—,7577.26,0.6954,0.702,0.6843,-0.0066,0.0112,0.0177,0.43
M6,6,TransformerFraud,0.6765,0.8397,0.6387,0.7192,0.54,6,1202688,1.2027,—,2517.07,0.7025,0.7102,0.6765,-0.0077,0.0259,0.0337,0.54
M6,6,XGBoost,0.6271,0.7813,0.6997,0.5682,0.26,6,—,—,2911,5425.3,0.649,0.6657,0.6271,-0.0167,0.0219,0.0386,0.26
