NAS SL,Testing SL,Model,F1,AUC,Recall,Precision,Threshold_x,SL,FLOPs,MFLOPs,Comparisons,Latency (μs),Train_F1,Val_F1,Test_F1,Train_vs_Val_Gap,Train_vs_Test_Gap,Val_vs_Test_Gap,Threshold_y
1645,1645,LSTM,0.8181,0.9322,0.7379,0.9177,0.46,1645,1114351620,1114.3516,—,21644.17,0.8525,0.864,0.8181,-0.0116,0.0344,0.046,0.46
1645,1645,RandomForest,0.8249,0.9347,0.743,0.927,0.46,1645,—,—,2569,24918.06,0.9,0.8537,0.8249,0.0464,0.0752,0.0288,0.46
1645,1645,TimesNet_PartialUnfreeze,0.8057,0.9047,0.7176,0.9186,0.23,1645,10842149856,10842.1499,—,33764.45,0.9777,0.8466,0.8057,0.1311,0.172,0.0408,0.23
1645,1645,TimesNet_Unfrozen,0.8246,0.9052,0.7837,0.8701,0.68,1645,10842149856,10842.1499,—,33764.45,0.9664,0.8347,0.8246,0.1317,0.1418,0.01,0.68
1645,1645,TransformerFraud,0.8414,0.9286,0.7557,0.9489,0.68,1645,1297116160,1297.1162,—,183630.23,0.8752,0.8729,0.8414,0.0023,0.0338,0.0315,0.68
1645,1645,XGBoost,0.8317,0.9397,0.7354,0.957,0.53,1645,—,—,1200,517.65,0.9003,0.8522,0.8317,0.0481,0.0686,0.0205,0.53
