NAS SL,Testing SL,Model,F1,AUC,Recall,Precision,Threshold_x,SL,FLOPs,MFLOPs,Comparisons,Latency (μs),Train_F1,Val_F1,Test_F1,Train_vs_Val_Gap,Train_vs_Test_Gap,Val_vs_Test_Gap,Threshold_y
E1645,1645,LSTM,0.796,0.9175,0.8041,0.788,0.32,1645,1121089540,1121.0895,—,21512.97,0.8926,0.8248,0.796,0.0678,0.0966,0.0288,0.32
E1645,1645,RandomForest,0.8184,0.935,0.7226,0.9435,0.55,1645,—,—,2358,25050.14,0.9127,0.8471,0.8184,0.0656,0.0942,0.0287,0.55
E1645,1645,TimesNet_PartialUnfreeze,0.8146,0.9117,0.7939,0.8365,0.79,1645,10842149856,10842.1499,—,34554.4,0.9565,0.8395,0.8146,0.117,0.1419,0.0249,0.79
E1645,1645,TimesNet_Unfrozen,0.7904,0.9116,0.715,0.8836,0.77,1645,10842149856,10842.1499,—,34554.4,0.9002,0.8517,0.7904,0.0485,0.1098,0.0613,0.77
E1645,1645,TransformerFraud,0.7697,0.907,0.659,0.925,0.55,1645,1298800640,1298.8006,—,182405.14,0.8377,0.8307,0.7697,0.0071,0.0681,0.061,0.55
E1645,1645,XGBoost,0.8275,0.9388,0.7506,0.9219,0.49,1645,—,—,1045,484.86,0.9324,0.8596,0.8275,0.0728,0.1049,0.0321,0.49
