NAS SL,Testing SL,Model,F1,AUC,Recall,Precision,Threshold_x,SL,FLOPs,MFLOPs,Comparisons,Latency (μs),Train_F1,Val_F1,Test_F1,Train_vs_Val_Gap,Train_vs_Test_Gap,Val_vs_Test_Gap,Threshold_y
100,100,LSTM,0.7672,0.8848,0.6539,0.9278,0.54,100,67805700,67.8057,—,2283.08,0.7945,0.8099,0.7672,-0.0155,0.0273,0.0428,0.54
100,100,RandomForest,0.7646,0.8812,0.6819,0.8701,0.44,100,—,—,2606,25128.84,0.8425,0.7759,0.7646,0.0667,0.0779,0.0112,0.44
100,100,TimesNet_PartialUnfreeze,0.7118,0.8613,0.6285,0.8206,0.79,100,527548800,527.5488,—,16713.31,0.8081,0.7861,0.7118,0.022,0.0963,0.0743,0.79
100,100,TimesNet_Unfrozen,0.7414,0.8718,0.6565,0.8515,0.61,100,527548800,527.5488,—,16713.31,0.8407,0.7875,0.7414,0.0532,0.0993,0.0461,0.61
100,100,TransformerFraud,0.7742,0.8909,0.6718,0.9135,0.49,100,78914560,78.9146,—,3245.48,0.8178,0.8106,0.7742,0.0072,0.0436,0.0364,0.49
100,100,XGBoost,0.7701,0.8864,0.6819,0.8845,0.45,100,—,—,1177,461.84,0.8296,0.7882,0.7701,0.0414,0.0595,0.0181,0.45
