NAS SL,Testing SL,Model,F1,AUC,Recall,Precision,Threshold_x,SL,FLOPs,MFLOPs,Comparisons,Latency (μs),Train_F1,Val_F1,Test_F1,Train_vs_Val_Gap,Train_vs_Test_Gap,Val_vs_Test_Gap,Threshold_y
6,6,LSTM,0.6817,0.8472,0.6158,0.7634,0.49,6,99460,0.0995,—,921.56,0.7076,0.7201,0.6817,-0.0126,0.0259,0.0384,0.49
6,6,RandomForest,0.6276,0.7828,0.6947,0.5723,0.25,6,—,—,1472,25755.84,0.6581,0.6584,0.6276,-0.0002,0.0306,0.0308,0.25
6,6,TimesNet_PartialUnfreeze,0.6744,0.8305,0.6692,0.6796,0.47,6,17218944,17.2189,—,11368.5,0.678,0.6677,0.6744,0.0103,0.0036,-0.0066,0.47
6,6,TimesNet_Unfrozen,0.7089,0.8326,0.6972,0.7211,0.34,6,17218944,17.2189,—,11368.5,0.7187,0.7196,0.7089,-0.0009,0.0098,0.0107,0.34
6,6,TransformerFraud,0.6929,0.8407,0.6489,0.7434,0.44,6,1249280,1.2493,—,2830.02,0.7234,0.7225,0.6929,0.0009,0.0305,0.0296,0.44
6,6,XGBoost,0.6317,0.7833,0.7201,0.5626,0.25,6,—,—,244,17293.89,0.6442,0.6676,0.6317,-0.0233,0.0125,0.0359,0.25
