NAS SL,Testing SL,Model,F1,AUC,Recall,Precision,Threshold_x,SL,FLOPs,MFLOPs,Comparisons,Latency (μs),Train_F1,Val_F1,Test_F1,Train_vs_Val_Gap,Train_vs_Test_Gap,Val_vs_Test_Gap,Threshold_y
E16,16,LSTM,0.7094,0.848,0.6896,0.7305,0.42,16,10971652,10.9717,—,1089.12,0.8453,0.7459,0.7094,0.0993,0.1358,0.0365,0.42
E16,16,RandomForest,0.7039,0.8275,0.7532,0.6607,0.43,16,—,—,2118,25158.12,0.8391,0.7326,0.7039,0.1066,0.1352,0.0286,0.43
E16,16,TimesNet_PartialUnfreeze,0.7294,0.8779,0.6997,0.7618,0.52,16,87922176,87.9222,—,14008.96,0.755,0.7575,0.7294,-0.0025,0.0256,0.028,0.52
E16,16,TimesNet_Unfrozen,0.7423,0.8787,0.7659,0.7201,0.29,16,87922176,87.9222,—,14008.96,0.8307,0.7465,0.7423,0.0842,0.0884,0.0043,0.29
E16,16,TransformerFraud,0.7354,0.8821,0.7354,0.7354,0.42,16,12698624,12.6986,—,2356.71,0.7717,0.75,0.7354,0.0217,0.0364,0.0146,0.42
E16,16,XGBoost,0.6995,0.8382,0.7226,0.6778,0.42,16,—,—,531,445.75,0.8381,0.7354,0.6995,0.1027,0.1386,0.0359,0.42
