NAS SL,Testing SL,Model,F1,AUC,Recall,Precision,Threshold_x,SL,FLOPs,MFLOPs,Comparisons,Latency (μs),Train_F1,Val_F1,Test_F1,Train_vs_Val_Gap,Train_vs_Test_Gap,Val_vs_Test_Gap,Threshold_y
4,4,LSTM,0.6996,0.8361,0.6667,0.736,0.31,4,436868,0.4369,—,687.69,0.7055,0.7065,0.6996,-0.001,0.0059,0.0069,0.31
4,4,RandomForest,0.5995,0.7583,0.6514,0.5553,0.24,4,—,—,2169,37183.21,0.648,0.6246,0.5995,0.0234,0.0485,0.0251,0.24
4,4,TimesNet_PartialUnfreeze,0.6735,0.8254,0.6641,0.6832,0.3,4,18785280,18.7853,—,9977.28,0.6767,0.6849,0.6735,-0.0082,0.0031,0.0113,0.3
4,4,TimesNet_Unfrozen,0.6667,0.8329,0.6209,0.7198,0.39,4,18785280,18.7853,—,9977.28,0.7011,0.7045,0.6667,-0.0034,0.0344,0.0378,0.39
4,4,TransformerFraud,0.6792,0.8256,0.6438,0.7188,0.41,4,77056,0.0771,—,1895.7,0.6864,0.6977,0.6792,-0.0113,0.0072,0.0185,0.41
4,4,XGBoost,0.5875,0.7584,0.6107,0.566,0.34,4,—,—,493,451.9,0.6348,0.6259,0.5875,0.0088,0.0473,0.0384,0.34
