NAS SL,Testing SL,Model,F1,AUC,Recall,Precision,Threshold_x,SL,FLOPs,MFLOPs,Comparisons,Latency (μs),Train_F1,Val_F1,Test_F1,Train_vs_Val_Gap,Train_vs_Test_Gap,Val_vs_Test_Gap,Threshold_y
M4,4,LSTM,0.6839,0.8385,0.6387,0.7361,0.4,4,247724,0.2477,—,651.98,0.6954,0.7086,0.6839,-0.0132,0.0115,0.0247,0.4
M4,4,RandomForest,0.5882,0.761,0.6107,0.5674,0.31,4,—,—,1000,26987.65,0.6337,0.6241,0.5882,0.0096,0.0454,0.0358,0.31
M4,4,TimesNet_PartialUnfreeze,0.6617,0.8178,0.6845,0.6405,0.33,4,18753792,18.7538,—,8766.66,0.6596,0.6739,0.6617,-0.0143,-0.0022,0.0122,0.33
M4,4,TimesNet_Unfrozen,0.6793,0.8261,0.6845,0.6742,0.2,4,18753792,18.7538,—,8766.66,0.6912,0.6834,0.6793,0.0078,0.0119,0.0041,0.2
M4,4,TransformerFraud,0.6773,0.8203,0.6489,0.7083,0.26,4,807424,0.8074,—,1865.47,0.6984,0.6929,0.6773,0.0055,0.0211,0.0156,0.26
M4,4,XGBoost,0.5882,0.7635,0.6107,0.5674,0.31,4,—,—,417,468.58,0.6337,0.625,0.5882,0.0087,0.0454,0.0368,0.31
