NAS SL,Testing SL,Model,F1,AUC,Recall,Precision,Threshold_x,SL,FLOPs,MFLOPs,Comparisons,Latency (μs),Train_F1,Val_F1,Test_F1,Train_vs_Val_Gap,Train_vs_Test_Gap,Val_vs_Test_Gap,Threshold_y
50,50,LSTM,0.7616,0.8783,0.687,0.8544,0.49,50,33936900,33.9369,—,1737.38,0.8,0.7951,0.7616,0.0049,0.0384,0.0335,0.49
50,50,RandomForest,0.7317,0.8638,0.687,0.7826,0.43,50,—,—,2552,25175.66,0.7936,0.7585,0.7317,0.0351,0.0619,0.0268,0.43
50,50,TimesNet_PartialUnfreeze,0.7019,0.8624,0.626,0.7987,0.63,50,266410176,266.4102,—,19215.74,0.7374,0.7608,0.7019,-0.0233,0.0356,0.0589,0.63
50,50,TimesNet_Unfrozen,0.7285,0.8606,0.6896,0.7721,0.41,50,266410176,266.4102,—,19215.74,0.7658,0.7603,0.7285,0.0054,0.0373,0.0318,0.41
50,50,TransformerFraud,0.7521,0.8778,0.6794,0.8423,0.35,50,39490560,39.4906,—,2869.21,0.779,0.7889,0.7521,-0.0099,0.0269,0.0368,0.35
50,50,XGBoost,0.748,0.8665,0.7099,0.7904,0.39,50,—,—,1027,484.33,0.7906,0.7739,0.748,0.0167,0.0426,0.0259,0.39
